시점,물가지수,연도,월,전월 물가지수,월별 물가 상승률
2017.01,97.366,2017,1,,
2017.02,97.632,2017,2,97.366,1.0027319598217037
2017.03,97.565,2017,3,97.632,0.9993137495902982
2017.04,97.442,2017,4,97.565,0.9987393020037924
2017.05,97.546,2017,5,97.442,1.00106730157427
2017.06,97.338,2017,6,97.546,0.9978676726877574
2017.07,97.499,2017,7,97.338,1.0016540302862191
2017.08,98.058,2017,8,97.499,1.0057333921373555
2017.09,98.172,2017,9,98.058,1.0011625772501989
2017.1,98.077,2017,10,98.172,0.9990323106384713
2017.11,97.347,2017,11,98.077,0.9925568685828481
2017.12,97.698,2017,12,97.347,1.003605658109649
2018.01,98.106,2018,1,97.698,1.0041761346189277
2018.02,98.855,2018,2,98.106,1.0076345993109495
2018.03,98.751,2018,3,98.855,0.998947954074149
2018.04,98.931,2018,4,98.751,1.0018227663517332
2018.05,98.979,2018,5,98.931,1.0004851866452376
2018.06,98.779,2018,6,98.979,0.9979793693611776
2018.07,98.59,2018,7,98.779,0.9980866378481257
2018.08,99.462,2018,8,98.59,1.008844710416878
2018.09,100.221,2018,9,99.462,1.0076310550763106
2018.1,100.041,2018,10,100.221,0.998203969228006
2018.11,99.33,2018,11,100.041,0.9928929139052989
2018.12,98.988,2018,12,99.33,0.9965569314406524
2019.01,98.884,2019,1,98.988,0.9989493676001131
2019.02,99.311,2019,2,98.884,1.0043181910116905
2019.03,99.121,2019,3,99.311,0.9980868181772411
2019.04,99.481,2019,4,99.121,1.0036319246173868
2019.05,99.652,2019,5,99.481,1.0017189212010333
2019.06,99.491,2019,6,99.652,0.9983843776341669
2019.07,99.187,2019,7,99.491,0.9969444472364334
2019.08,99.425,2019,8,99.187,1.0023995080000403
2019.09,99.794,2019,9,99.425,1.0037113402061855
2019.1,100.041,2019,10,99.794,1.0024750987033288
2019.11,99.481,2019,11,100.041,0.9944022950590258
2019.12,99.719,2019,12,99.481,1.0023924166423739
2020.01,100.09,2020,1,99.719,1.0037204544770806
2020.02,100.16,2020,2,100.09,1.0006993705664902
2020.03,99.94,2020,3,100.16,0.9978035143769968
2020.04,99.5,2020,4,99.94,0.995597358415049
2020.05,99.44,2020,5,99.5,0.9993969849246231
2020.06,99.71,2020,6,99.44,1.0027152051488335
2020.07,99.63,2020,7,99.71,0.999197673252432
2020.08,100.19,2020,8,99.63,1.0056207969487103
2020.09,100.74,2020,9,100.19,1.005489569817347
2020.1,100.18,2020,10,100.74,0.9944411355965854
2020.11,100.09,2020,11,100.18,0.9991016170892393
2020.12,100.33,2020,12,100.09,1.002397841942252
2021.01,101.04,2021,1,100.33,1.0070766470646866
2021.02,101.58,2021,2,101.04,1.0053444180522564
2021.03,101.84,2021,3,101.58,1.002559558968301
2021.04,101.98,2021,4,101.84,1.001374705420267
2021.05,102.05,2021,5,101.98,1.0006864090998235
2021.06,102.05,2021,6,102.05,1.0
2021.07,102.26,2021,7,102.05,1.0020578147966683
2021.08,102.75,2021,8,102.26,1.004791707412478
2021.09,103.17,2021,9,102.75,1.004087591240876
2021.1,103.35,2021,10,103.17,1.0017446932247747
2021.11,103.87,2021,11,103.35,1.0050314465408805
2021.12,104.04,2021,12,103.87,1.0016366612111294
2022.01,104.85,2022,1,104.04,1.0077854671280275
2022.02,105.42,2022,2,104.85,1.005436337625179
2022.03,106.1,2022,3,105.42,1.0064503889205083
2022.04,106.83,2022,4,106.1,1.006880301602262
2022.05,107.5,2022,5,106.83,1.0062716465412338
2022.06,108.21,2022,6,107.5,1.0066046511627906
2022.07,108.73,2022,7,108.21,1.00480547084373
2022.08,108.63,2022,8,108.73,0.9990802906281614
2022.09,108.82,2022,9,108.63,1.0017490564300837
2022.1,109.16,2022,10,108.82,1.0031244256570484
2022.11,109.07,2022,11,109.16,0.9991755221692927
2022.12,109.26,2022,12,109.07,1.0017420005501056
